dateid,day,month,year
7751,13,9,2024
6370,13,9,2024
1611,5,9,2020
5815,13,9,2024
7613,13,9,2024
6391,13,9,2024
5438,13,9,2024
3548,5,9,2020
7357,13,9,2024
897,5,9,2020
5883,13,9,2024
2209,5,9,2020
4837,13,9,2024
5837,13,9,2024
5516,13,9,2024
4125,13,9,2024
5951,13,9,2024
6064,13,9,2024
2764,5,9,2020
6797,13,9,2024
5577,13,9,2024
5931,13,9,2024
7455,13,9,2024
4591,13,9,2024
533,5,9,2020
329,5,9,2020
4345,13,9,2024
3945,13,9,2024
5821,13,9,2024
4768,13,9,2024
5809,13,9,2024
477,5,9,2020
6606,13,9,2024
6791,13,9,2024
4468,13,9,2024
50,5,9,2020
529,5,9,2020
6212,13,9,2024
3605,5,9,2020
1929,5,9,2020
4409,13,9,2024
3360,5,9,2020
413,5,9,2020
225,5,9,2020
3116,5,9,2020
4072,13,9,2024
2794,5,9,2020
2249,5,9,2020
3067,5,9,2020
6233,13,9,2024
5392,13,9,2024
7179,13,9,2024
6124,13,9,2024
1219,5,9,2020
7664,13,9,2024
6710,13,9,2024
1462,5,9,2020
431,5,9,2020
419,5,9,2020
2735,5,9,2020
5228,13,9,2024
6824,13,9,2024
4665,13,9,2024
390,5,9,2020
2971,5,9,2020
5697,13,9,2024
379,5,9,2020
6247,13,9,2024
5441,13,9,2024
3865,5,9,2020
694,5,9,2020
2748,5,9,2020
6839,13,9,2024
1284,5,9,2020
6364,13,9,2024
5161,13,9,2024
640,5,9,2020
6413,13,9,2024
2343,5,9,2020
536,5,9,2020
504,5,9,2020
4566,13,9,2024
7781,13,9,2024
6289,13,9,2024
7680,13,9,2024
5062,13,9,2024
3589,5,9,2020
4779,13,9,2024
3117,5,9,2020
7408,13,9,2024
7662,13,9,2024
2675,5,9,2020
7077,13,9,2024
1054,5,9,2020
7404,13,9,2024
6795,13,9,2024
1840,5,9,2020
5000,13,9,2024
6477,13,9,2024
5628,13,9,2024
2250,5,9,2020
7095,13,9,2024
4271,13,9,2024
1261,5,9,2020
2190,5,9,2020
6069,13,9,2024
5209,13,9,2024
6840,13,9,2024
7148,13,9,2024
6345,13,9,2024
3030,5,9,2020
7259,13,9,2024
3378,5,9,2020
604,5,9,2020
6564,13,9,2024
2438,5,9,2020
5403,13,9,2024
2585,5,9,2020
5703,13,9,2024
2270,5,9,2020
4177,13,9,2024
1222,5,9,2020
272,5,9,2020
5753,13,9,2024
7345,13,9,2024
5684,13,9,2024
451,5,9,2020
4582,13,9,2024
4052,13,9,2024
6054,13,9,2024
1224,5,9,2020
6226,13,9,2024
4852,13,9,2024
2658,5,9,2020
