rowid,product_id,customer_id,price,total_price
1,7186,48203,2691,13455
2,5643,36216,1619,1619
3,6442,11282,4387,21935
4,8021,36492,3727,7454
5,7460,81008,1455,5820
6,6701,7556,1159,2318
7,8021,36492,3727,7454
8,6442,11282,4387,21935
9,5643,36216,1619,1619
10,7186,48203,2691,13455
11,6668,7427,2037,6111
12,8669,51578,4237,16948
13,8206,77899,4089,4089
14,7732,31755,3700,18500
15,8107,32824,4168,20840
16,8925,5211,4001,16004
17,5732,66187,2198,8792
18,6728,839,1956,3912
19,6370,63643,2657,5314
20,8150,76537,1299,5196
21,5709,67374,157,628
22,8719,4068,257,1028
23,5727,2709,2463,4926
24,7796,72708,3527,17635
25,6485,87513,2909,11636
26,7042,41460,574,2296
27,8904,35404,2612,10448
28,6029,19629,1884,1884
29,8189,23923,366,732
30,8323,60958,755,2265
31,8216,64735,621,2484
32,6212,83962,2328,11640
33,6573,63393,1292,5168
34,6914,39822,3569,10707
35,5755,52698,3188,12752
36,8460,11223,598,1794
37,6509,40772,3121,12484
38,6084,54176,4676,9352
39,7432,76819,2649,13245
40,5675,16386,3847,19235
41,6696,73447,3156,12624
42,7291,58811,490,980
43,7191,89532,2585,10340
44,8635,54693,122,366
45,7233,81056,2502,10008
46,6100,54643,1791,7164
47,8254,23369,3181,3181
48,5792,15945,1723,3446
49,7727,36767,4649,4649
50,8878,83338,1903,9515
51,8850,53294,1827,5481
52,7158,58677,2557,7671
53,7100,10473,2084,6252
54,7332,21152,3331,6662
55,7896,17777,3911,7822
56,7467,7788,1729,3458
57,6055,20323,3955,19775
58,6294,76743,133,532
59,8021,20132,3727,11181
60,8305,41753,3066,6132
61,6701,7556,1159,2318
62,7460,81008,1455,5820
63,8305,41753,3066,6132
64,8021,20132,3727,11181
65,6294,76743,133,532
66,6055,20323,3955,19775
67,7467,7788,1729,3458
68,7896,17777,3911,7822
69,7332,21152,3331,6662
70,7100,10473,2084,6252
71,7158,58677,2557,7671
72,8850,53294,1827,5481
73,8878,83338,1903,9515
74,7727,36767,4649,4649
75,5792,15945,1723,3446
76,8254,23369,3181,3181
77,6100,54643,1791,7164
78,7233,81056,2502,10008
79,8635,54693,122,366
80,7191,89532,2585,10340
81,7291,58811,490,980
82,6696,73447,3156,12624
83,5675,16386,3847,19235
84,7432,76819,2649,13245
85,6084,54176,4676,9352
86,6509,40772,3121,12484
87,8460,11223,598,1794
88,5755,52698,3188,12752
89,6914,39822,3569,10707
90,6573,63393,1292,5168
91,6212,83962,2328,11640
92,8216,64735,621,2484
93,8323,60958,755,2265
94,8189,23923,366,732
95,6029,19629,1884,1884
96,8904,35404,2612,10448
97,7042,41460,574,2296
98,6485,87513,2909,11636
99,7796,72708,3527,17635
100,5727,2709,2463,4926
101,8719,4068,257,1028
102,5709,67374,157,628
103,8150,76537,1299,5196
104,6370,63643,2657,5314
105,6728,839,1956,3912
106,5732,66187,2198,8792
107,8925,5211,4001,16004
108,8107,32824,4168,20840
109,7732,31755,3700,18500
110,8206,77899,4089,4089
111,8669,51578,4237,16948
112,6668,7427,2037,6111
113,7764,60090,3278,9834
114,5921,50578,2576,7728
115,7857,79853,367,734
116,6891,65424,4238,4238
117,6940,80369,1889,9445
118,7593,63401,4700,18800
119,6412,21868,938,4690
120,8529,25673,3745,11235
121,7837,29745,2178,6534
122,7212,8732,2316,6948
123,8282,5479,4133,20665
124,8624,88407,3573,14292
125,5624,71829,1621,6484
126,7761,75902,4701,9402
127,8071,38559,3861,3861
128,7804,76481,1517,7585
129,8820,40268,3202,6404
130,6036,13759,1337,6685
131,5844,6208,136,272
132,7698,81437,3114,12456
133,5639,46775,2579,10316
134,7129,48960,3625,3625
135,6221,39616,3362,10086
136,8802,69200,3567,3567
137,6724,49994,4622,13866
138,6124,9815,4801,14403
139,7132,24836,1784,8920
140,8546,53474,2708,8124
141,5643,24171,1619,8095
142,8071,9170,3861,7722
143,8156,3049,2011,10055
144,7767,61886,1189,5945
145,5921,50578,2576,7728
146,8146,37332,2768,8304
147,8680,82963,4408,13224
148,8024,70243,4506,4506
149,8494,16497,1342,5368
150,6004,76174,2190,6570
151,7755,56752,226,1130
152,5963,240,1205,3615
153,8589,88433,631,2524
154,7347,27837,314,314
155,6505,72604,1305,2610
156,8642,6162,984,3936
157,6554,58145,1889,9445
158,8034,86122,4335,13005
159,6622,2507,3803,3803
160,8302,33713,1229,4916
161,8036,78166,4206,12618
162,7516,7978,1937,1937
163,7009,70536,4850,14550
164,8932,2487,4842,14526
165,8882,85701,2126,6378
166,8943,11017,4946,4946
167,7073,2324,1763,8815
168,8370,68498,2061,2061
169,8587,59617,145,435
170,8888,21645,4433,17732
171,6774,27272,4844,14532
172,8906,50664,2709,10836
173,7857,79853,367,734
174,6891,65424,4238,4238
175,6940,80369,1889,9445
176,6377,45126,79,395
177,6377,45126,79,395
178,7593,63401,4700,18800
179,6412,21868,938,4690
180,8529,25673,3745,11235
181,7837,29745,2178,6534
182,7212,8732,2316,6948
183,8282,5479,4133,20665
184,8624,88407,3573,14292
185,5624,71829,1621,6484
186,7761,75902,4701,9402
187,8071,38559,3861,3861
188,7804,76481,1517,7585
189,8820,40268,3202,6404
190,6036,13759,1337,6685
191,5844,6208,136,272
192,7698,81437,3114,12456
193,5639,46775,2579,10316
194,7129,48960,3625,3625
195,6221,39616,3362,10086
196,8802,69200,3567,3567
197,6724,49994,4622,13866
198,6124,9815,4801,14403
199,7132,24836,1784,8920
200,8546,53474,2708,8124
201,5643,24171,1619,8095
202,8071,9170,3861,7722
203,8156,3049,2011,10055
204,7767,61886,1189,5945
205,7764,60090,3278,9834
206,8146,37332,2768,8304
207,8680,82963,4408,13224
